PhraseId	SentenceId	Phrase	Sentiment
1	1	Slow moving traffic on Mysore road from Satellite town towards Mysore road flyover.	1
2	2	Slow moving traffic seen at Adugodi jn, Anepalya jn, Queens road, Cubbon road and Seshadri road.	1
3	3	Traffic from adugodi signal towards cemetery.	1
4	4	Moderate traffic from Phoenix Mall towards Hoodi Crl at 8:07 PM	1
5	5	Slow moving traffic from Marathahalli towards Kadubeesanahalli at 8:37 pm	1
6	6	Slow moving traffic from BTM Layout towards Silk Board at 9:24 pm	1
7	7	Moderate traffic from Indira Nagar towads Domlur at 9:55 pm	1
8	8	Slow moving traffic @ Malleshwaram 8th main rd. bound from Yeshwantpur Circle towards Malleshwaram 15th Cross Rd. at 8.30 AM.	1
9	9	Tumkur Rd. traffic is running Slow from Nagasandra Metro Stn. towards Yeshwantpur via Jalahalli &amp; Peenya  at 8.49 AM	1
10	10	Congested traffic @ Sampige Rd. bound from Malleshwaram Circle towards Malleshwaram 18th Cross Rd. at 9.08 AM.	0
11	11	Slow moving traffic seen @ Town hall jn., Richmond circle, Bellary road, Sankey tank road and Hudson circle.	1
12	12	Slow moving #traffic @ Nagavara main rd. bound from Shampura main rd. towards Nagavara jn. at 10.46 A	1
13	13	Stagnant traffic on the road from Sadashivnagar to Cauvery theater via the magic box	0
14	14	Due to the VVIP movement, expect held-up traffic at Ballari Road, Sankey Tank Road, C.V Raman Road &amp; New BEL Road. 	1
15	15	Slow moving traffic from Koromangala Forum to Adugodi due to sewage leakage.	1
16	16	Due to water logging near Anepalya junction, slow moving traffic on Hosur Rd. from Adugodi Jn. towards Anepalya Jn	1
17	17	Congested traffic at New BEL Road bound from Sadashivanagar Police Stn. towards Devasandra at 11.40 AM.	0
18	18	Main Rd. traffic is moving Slow from Thanisandra towards Nagavara Jn. at 12.08 PM.	1
19	19	ORR #traffic is running Smooth on both sides from Nagavara Jn. towards KR Puram via Hennur Jn. &amp; HRBR Layout at 12.34 PM.	2
20	20	Congested traffic @ Gen.KS Thimayya Rd. from Richmond Circle towards Shoolay Circle at 12.53 PM. 	0
21	21	Indiranagar 100 Ft. Rd. traffic is moving Slow on both sides from Domlur Flyover towards Indiranagar at 1.17 PM	1
22	22	traffic is moving Moderate from KR Puram towards Marathahalli Bridge via Mahadevapura at 2.18 PM.	1
23	23	Slow moving traffic from Yeshwantpur towards Jalahalli Metro at 2:41 pm	1
24	24	Smooth from Hope Farm Jn. towards KR Puram via Hoodi Circle at 2.43 PM.	2
25	25	Whitefield Main Rd. #traffic is moving Moderate from Varthur Kodi towards Hope Farm Jn. via Whitefield at 3.10 PM.	1
26	26	Moderate traffic from Nagavara towards Hebbal at 3:28 pm	1
27	27	Slow moving traffic from Trinity Crl towards MG Road at 4:32 pm	1
28	28	Moderate traffic from Hebbal towards BEL Crl at 6:01 pm	1
29	29	Slow moving traffic on JC Rd, Mekhri Crl, Shoolay Crl, Tin Factory, Hulimavu Jn, CMTI Jn.	1
30	30	huge jam at mahadevpura near EMC traffic stuck since 30mins	0
31	31	Due to Bus breakdown Slow moving traffic on Mahakavi Kuvempu Rd towards Navarang Theater Jn.	1
32	32	heavy traffic from Mayo Hall towards MG road and Trinity circle	0
33	33	Slow moving #traffic from Tin Factory towards KR Puram at 6:50 PM	1
34	34	Moderate #traffic from Domlur towards Indira Nagar at 7:17 PM	1
35	35	Moderate traffic from Bellandur towards Marathahalli at 8.33 PM.	1
36	36	Huge traffic jam rite outside town hall	0
37	37	Huge jam near yelahanka	0
38	38	Moderate #traffic frm Shoolay Crl towards Richmond Crl at 9:28 PM	1
39	39	ORR traffic is moving Slow from Jayadeva Flyover towards HSR Layout via Central Silk Board Jn. at 8.23 AM.	1
40	40	Old Airport Rd. traffic is moving Slow from Marathahalli Bridge towards Kundalahalli Gate at 8.42AM.	1
41	41	Pile up of traffic at tin factory and on B.T.M.layout outer ring road from Jayadeva hospital junction.	0
42	42	present traffic @ Graphite India Signal (Whitefield Rd.) is Congested	2
43	43	Total chaos at Kormangala Sony Signal, because of VIP movement traffic standstill,	0
44	44	Hosur Main Rd. traffic is moving Slow from Dairy Circle Flyover towards Sarjapur Main Rd. via Hosur Rd. at 9.16 AM. 	1
45	45	@rkartha At present the traffic out there is Congested / Slow moving.	0
46	46	VVIP movement may cause delay from 10 AM to 10:30 AM from Sankeys Road upto H.A.L Airport Rd. 	0
47	47	r tech park~itpl~big bazaar slow moving	1
48	48	ORR traffic from Bellandur towards Marathahalli Bridge is moving Slow via Kadubeesanahalli at 10.08 AM.	1
49	49	smooth drive from Hoodi to SAP Labs. Apprehensive about the return route, though.	2
50	50	You know you are in #bangalore when you face a traffic jam on a flyover!!!	0
51	51	"Krishi Mela"" at G.K.V.K Chikka Bommasandra Bengaluru. Avoid Hebbal and Yelahanka routes till Sunday as the traffic may get affected."	0
52	52	 #traffic is running Smooth from Hebbal Flyover towards Nagavara Jn. via Lumbini Gardens at 12.49 PM. 	2
53	53	moderate traffic near	1
54	54	heavy traffic near	0
55	55	heavy traffic from to	0
56	56	moderate traffic on	1
57	57	heavy traffic on	0
58	58	stalled	0
59	59	Slow moving traffic on EM Bypass Road near Milan Nagar on both side.	1
60	60	Slow moving traffic on VIP Road near Baguihati.	1
61	61	Slow moving traffic on EM Bypass Rd. near Ghose Bagan in both directions.,	1
62	62	Slow moving traffic on Rajrhat Rd. near Dash Drone towards Desh Bandhu colony.	1
63	63	ON Dum Dum Road traffic is slow moving near Barrackpore Trunk Road Junction.	1
64	64	Moderarate traffic on Kona Expy on both sides. #kolkata #traffic  	1
65	65	RT @EconomicTimes: TMC supporters block rail tracks at Taldi Station near Canning in South 24, to protest against Madan Mitra's arrest (Tim…	0
66	66	RT @saileenasarkar: @TrafflineKol today thr was some heavy traffic near tea board,more than usual..is something happening there today? @WeA…	0
67	67	Heavy traffic on Grant Trunk Road even at this hour near Salkia towards Belur Bazaar. #Kolkata @ 22:30 Hrs http://t.co/vd7XD5ytcB	0
68	68	ON Dum Dum Road traffic is slow moving near Barrackpore Trunk Road Junction.	1
69	69	Prince Anwar Shah Rd traffic is slow moving at Jadavpur Police Stn Jn towards Kalikapur #Kolkata  #traffic updates on http://t.co/hclChqXQdu	1
70	70	"Congested traffic on PWD Rd towards Bally Ghat Rail.
Check live #Kolkata #Traffic @ http://t.co/hclChqXQdu"	0
71	71	"Traffic congested and slow moving from Rabindra Setu towards Sealdah @20.40 hrs.
Check #Kolkata #Traffic"	1
72	72	"Prince Anwar Shah Rd traffic is slow moving at Jadavpur Police Stn Jn towards Kalikapur
#Kolkata  #traffic updates on http://t.co/hclChqXQdu"	1
73	73	"Congested traffic on PWD Rd towards Bally Ghat Rail.
Check live #Kolkata #Traffic @ http://t.co/NZXGc34tQm"	0
74	74	"EM Bypass has traffic congestion near Science city lake.
Check @ http://t.co/hclChqXQdu for live traffic updates. http://t.co/b4K7qGpSom"	0
